Raw Value,Normalized Value,Record Count,Category,Changed,Sample Toys
"Boot-rt","Boot RT",4,"footwear",YES,"JKP50"
"booties lt","Booties LT",4,"booties",YES,"JMB82"
"icoffin ","Icoffin",4,"icoffin",YES,"JHK31, JHK32, JHK33"
"Anna Upper Leg Rt-Outer-Inner","Anna Upper Leg RT Outer Inner",4,"leg",YES,"JJP88"
"slide w/steps","Slide W/steps",4,"slide",YES,"JJP87"
"purse handle","Purse Handle",4,"handle",YES,"JLT59, JLT60"
"icoffin","Icoffin",4,"icoffin",YES,"JHK29, JMB81"
"book-lower","Book Lower",4,"book",YES,"JGG36"
"puppy","Puppy",4,"puppy",YES,"JKB66, JRD74"
"Castle front","Castle Front",4,"castle",YES,"JNW72"
"hunter Leg Rt Lower Rt","Hunter Leg RT Lower RT",4,"leg",YES,"JMP50"
" TOWER UPPER PART","Tower Upper Part",4,"tower",YES,"JHH02"
"Book-inner","Book Inner",4,"book",YES,"JLK35"
"Snake","Snake",4,"snake",NO,"JMV26"
"Earrings","Earring",4,"earrings",YES,"JBJ36, JJX55"
"Pole handle","Pole Handle",4,"handle",YES,"JMJ46"
"Book","Book",4,"book",NO,"JML08, JTT59"
"Blue-fairy-stand","Blue Fairy Stand",4,"base",YES,"JHL47"
"SNOW UNICORN TOY","Snow Unicorn Toy",4,"snow",YES,"JJP93"
"House-Ft","House FT",4,"house",YES,"JJB41"
"Dog-head","Dog Head",4,"head",YES,"JRJ36"
"Petite-Bodice-Ft","Petite Bodice FT",4,"petite",YES,"JHL49"
"pet body","Pet Body",4,"body",YES,"JDR48, JHK30"
"perfume lid","Perfume Lid",4,"cover",YES,"JHK45"
"Snow-White-Bodice-Ft/Rr","Snow White Bodice Ft/rr",4,"snow",YES,"JHL54"
"Snow-White-Torso-Ft/Rr","Snow White Torso Ft/rr",4,"body",YES,"JHL54"
"pen cup","Pen Cup",4,"pen",YES,"JHK43"
"WOLF EAR HEADBANDS","Wolf Ear Headbands",4,"wolf",YES,"JPD88"
"Pedal pin-wheel pin-kick stand","Pedal Pin Wheel Pin Kick Stand",4,"base",YES,"JJP88"
"Cat-tail","Cat Tail",4,"cat",YES,"JGP25, JMP50"
